feature,importance
PPE,1.4056154
spread2,1.1637914
MDVP:Fhi,0.93656576
MDVP:Fo,0.73567504
D2,0.57188725
MDVP:RAP,0.51887125
spread1,0.480236
DFA,0.40676844
Shimmer:APQ5,0.28358558
MDVP:APQ,0.27756572
MDVP:Jitter,0.26834023
NHR,0.18725622
MDVP:Shimmer,0.16136177
Shimmer:APQ3,0.11213601
RPDE,0.09797407
HNR,0.07821108
MDVP:Flo,0.007770902
MDVP:PPQ,0.0042541013
MDVP:Jitter.1,0.0
Shimmer:DDA,0.0
Jitter:DDP,0.0
MDVP:Shimmer.1,0.0
