feature,importance
PPE,0.2222215
spread1,0.21253347
Shimmer:APQ5,0.11764433
MDVP:Fo,0.08353983
Shimmer:APQ3,0.07535335
MDVP:Shimmer,0.061401445
RPDE,0.054708865
MDVP:Fhi,0.037877534
MDVP:APQ,0.023786651
D2,0.02132581
spread2,0.021051401
MDVP:Jitter,0.020171842
MDVP:Flo,0.010301844
DFA,0.010053582
MDVP:RAP,0.008738542
NHR,0.0069476366
HNR,0.0068136677
MDVP:PPQ,0.0055287774
MDVP:Jitter.1,0.0
Shimmer:DDA,0.0
Jitter:DDP,0.0
MDVP:Shimmer.1,0.0
